# Names Redshift DM_obs(pc/cm^3) R.A.(deg-J2000) Dec.(deg-J2000) DM_MW_NE2001(pc/cm^3) DM_MW_YMW16(pc/cm^3) Type
FRB121102A 0.19273 557.0 82.9946 33.1479 188.4 287.1 1
FRB171020A 0.008672 114.1 333.75 -19.6667 36.7 24.7 3
FRB180301A 0.3304 552.0 93.2268 4.6711 151.7 254.0 1
FRB180814A 0.068 190.9 65.6833 73.6644 87.6 107.9 2
FRB180916B 0.0337 349.349 29.5031 65.7168 199.0 324.9 2
FRB180924B 0.3212 361.42 326.1053 -40.9 40.5 27.6 3
FRB181030A 0.00385 103.396 158.5838 73.7514 41.1 33.0 1
FRB181112A 0.4755 589.27 327.3485 -52.9709 41.7 29.0 3
FRB181220A 0.02746 208.66 348.6982 48.3421 118.5 115.3 3
FRB181223C 0.03024 111.61 180.9207 27.5476 19.9 19.1 3
FRB190102C 0.2912 364.5 322.4157 -79.4757 57.4 43.3 3
FRB190110C 0.12244 221.6 249.3185 41.4434 37.1 29.9 2
FRB190303A 0.064 223.2 207.9958 48.1211 29.8 21.8 2
FRB190418A 0.07132 182.78 65.8123 16.0738 70.2 85.8 3
FRB190425A 0.03122 127.78 255.6625 21.5767 48.7 38.7 3
FRB190520B 0.2418 1204.7 240.5178 -11.2881 60.2 50.2 1
FRB190523A 0.66 760.8 207.065 72.4697 37.2 29.9 3
FRB190608B 0.11778 338.7 334.0199 -7.8983 37.3 26.6 3
FRB190611B 0.3778 321.4 320.7456 -79.3976 57.8 43.7 3
FRB190614D 0.6 959.2 65.0755 73.7067 87.8 108.7 3
FRB190711A 0.522 593.1 329.4193 -80.358 56.5 42.6 1
FRB190714A 0.2365 504.13 183.9797 -13.021 38.5 31.2 3
FRB191001A 0.234 506.92 323.3513 -54.7478 44.2 31.1 3
FRB191106C 0.10775 332.2 199.5801 42.9997 25.0 20.5 2
FRB191228A 0.2432 297.5 344.4304 -28.5941 32.9 20.1 3
FRB200223B 0.06024 201.8 8.2695 28.8313 45.6 37.0 2
FRB200430A 0.1608 380.1 229.7064 12.3763 27.2 26.1 3
FRB200906A 0.3688 577.8 53.4962 -14.0832 35.8 37.9 3
FRB201123A 0.0507 433.55 263.67 -50.76 251.7 162.7 1
FRB201124A 0.098 413.52 77.0146 26.0607 139.9 196.6 2
FRB210117A 0.2145 729.1 339.9792 -16.1515 34.4 23.1 3
FRB210320C 0.2797 384.8 204.4608 -16.1227 39.3 30.4 3
FRB210405I 0.066 565.17 255.3396 -49.5452 516.1 348.7 3
FRB210410D 0.1415 571.2 326.0863 -79.3182 56.2 42.2 3
FRB210603A 0.1772 500.147 10.2741 21.2263 39.5 30.8 3
FRB210807D 0.1293 251.9 299.2214 -0.7624 121.2 93.7 3
FRB211127I 0.0469 234.83 199.8082 -18.8378 42.5 31.5 3
FRB211203C 0.3439 636.2 204.5625 -31.3801 63.7 48.4 3
FRB211212A 0.0707 206.0 157.3509 1.3609 38.8 27.5 3
FRB220105A 0.2785 583.0 208.8039 22.4665 22.0 20.6 3
FRB220204A 0.4012 612.584 274.2263 69.7225 50.7 46.0 3
FRB220207C 0.04304 262.38 310.1995 72.8823 76.1 83.3 3
FRB220307B 0.248123 499.27 350.8745 72.1924 128.2 186.9 3
FRB220310F 0.477958 462.24 134.7204 73.4908 46.3 39.5 3
FRB220319D 0.011228 110.98 32.1779 71.0353 139.7 211.0 3
FRB220418A 0.622 623.25 219.1056 70.0959 36.7 29.5 3
FRB220501C 0.381 449.5 352.3792 -32.4907 30.6 14.0 3
FRB220506D 0.30039 396.97 318.0448 72.8273 84.6 97.7 3
FRB220509G 0.0894 269.53 282.67 70.2438 55.6 52.1 3
FRB220529A 0.1839 246.0 19.1042 20.6325 40.0 30.9 1
FRB220610A 1.016 1458.15 351.0732 -33.5137 31.0 13.6 3
FRB220717A 0.36295 637.34 293.3042 -19.2877 118.3 83.2 3
FRB220725A 0.1926 290.4 353.3152 -35.9902 30.7 11.6 3
FRB220726A 0.3619 686.232 73.94567 69.9291 89.5 111.4 3
FRB220825A 0.241397 651.24 311.9815 72.585 78.5 86.9 3
FRB220831A 0.262 1146.25 338.6955 70.5384 126.8 182.3 3
FRB220912A 0.0771 219.46 347.2704 48.7071 125.2 122.2 2
FRB220914A 0.1139 631.28 282.0568 73.3369 54.7 51.1 3
FRB220918A 0.491 656.8 17.5921 70.8113 153.1 240.6 3
FRB220920A 0.158239 314.99 240.2571 70.9188 39.9 33.4 3
FRB221012A 0.284669 441.08 280.7987 70.5242 54.3 50.5 3
FRB221029A 0.975 1391.75 141.9634 72.4523 43.8 36.4 3
FRB221101B 0.2395 491.554 342.2162 70.6812 131.2 192.4 3
FRB221106A 0.2044 343.8 56.7048 -25.5698 34.8 31.8 3
FRB221113A 0.2505 411.027 71.411 70.3074 91.7 115.4 3
FRB221116A 0.2764 643.448 21.2102 72.6539 132.3 196.2 3
FRB221219A 0.553 706.708 257.6298 71.6268 44.4 38.6 3
FRB230124A 0.0939 590.574 231.9163 70.9681 38.6 31.8 3
FRB230307A 0.2706 608.854 177.7813 71.6956 37.6 29.5 3
FRB230501A 0.3015 532.471 340.0272 70.9222 125.7 180.2 3
FRB230521B 1.354 1342.9 351.036 71.138 138.8 209.7 3
FRB230526A 0.157 361.4 22.2326 -52.7173 31.9 21.9 3
FRB230626A 0.327 452.723 235.6296 71.1335 39.3 32.5 3
FRB230628A 0.127 344.952 166.7867 72.2818 39.0 30.8 3
FRB230708A 0.105 411.51 303.1155 -55.3563 60.3 44.0 3
FRB230712A 0.4525 587.567 167.3585 72.5578 39.2 30.9 3
FRB230718A 0.0357 477.0 128.1619 -40.4519 420.6 450.0 3
FRB230814A 0.553 696.4 335.9748 73.0259 104.8 137.8 3
FRB230902A 0.3619 440.1 52.1398 -47.3335 34.1 25.5 3
FRB231120A 0.0368 437.737 143.984 73.2847 43.8 36.2 3
FRB231123B 0.2621 396.857 242.5382 70.7851 40.3 33.8 3
FRB231220A 0.3355 491.2 123.9087 73.6599 49.9 44.5 3
FRB231226A 0.1569 329.9 155.3638 6.1103 38.1 26.7 3
FRB240114A 0.13 527.65 321.9161 4.3292 49.7 38.8 1
